EnhetNivaa	Nasjonaltkode	Fylkekode	Kommunekode	Organisasjonsnummer	Nasjonalt	Fylke	Kommune	EnhetNavn	2023-24.Alle kjønn.Alle eierformer.Antall lærere
2	I	42	0000	42	Hele landet	Agder	Alle kommuner	Alle skoler	4 300
3	I	42	4203	4203	Hele landet	Agder	Arendal	Alle skoler	569
4	I	42	4203	990334021	Hele landet	Agder	Arendal	Arendal International School (Ais)	32
4	I	42	4203	975280888	Hele landet	Agder	Arendal	Asdal skole	48
4	I	42	4203	975283003	Hele landet	Agder	Arendal	Birkenlund skole	41
4	I	42	4203	975283208	Hele landet	Agder	Arendal	Eydehavn skole	13
4	I	42	4203	975283194	Hele landet	Agder	Arendal	Flosta skole	11
4	I	42	4203	982944694	Hele landet	Agder	Arendal	Hisøy skole 1-10 Skoler	41
4	I	42	4203	912457192	Hele landet	Agder	Arendal	Lunderød skole og ressurssenter	15
4	I	42	4203	975282996	Hele landet	Agder	Arendal	Moltemyr skole	35
4	I	42	4203	975283216	Hele landet	Agder	Arendal	Myra skole	21
4	I	42	4203	975280845	Hele landet	Agder	Arendal	Nedenes skole	41
4	I	42	4203	975283186	Hele landet	Agder	Arendal	Nesheim skole	10
4	I	42	4203	875280902	Hele landet	Agder	Arendal	Roligheden skole Barne-/Ungdomstrinnet	48
4	I	42	4203	975280853	Hele landet	Agder	Arendal	Rykene oppvekstsenter Avd skole	14
4	I	42	4203	975280896	Hele landet	Agder	Arendal	Sandnes skole	22
4	I	42	4203	974117061	Hele landet	Agder	Arendal	St. Franciskus skole	31
4	I	42	4203	986078479	Hele landet	Agder	Arendal	Steinerskolen i Arendal	34
4	I	42	4203	875283022	Hele landet	Agder	Arendal	Stinta skole barne- og Ungdomstrinnet	48
4	I	42	4203	975280837	Hele landet	Agder	Arendal	Strømmen oppvekstsenter Avd skole	14
4	I	42	4203	875283162	Hele landet	Agder	Arendal	Stuenes skole Barne- og Ungdomstrinn	44
3	I	42	4216	4216	Hele landet	Agder	Birkenes	Alle skoler	84
4	I	42	4216	975283259	Hele landet	Agder	Birkenes	Birkeland skole	42
4	I	42	4216	975283275	Hele landet	Agder	Birkenes	Engesland skole	12
4	I	42	4216	975283267	Hele landet	Agder	Birkenes	Herefoss skole	5
